Invalid MIT-MAGIC-COOKIE-1 keyInvalid MIT-MAGIC-COOKIE-1 key---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  6.740e-01  [0 1.000e+00 1.000e+00 1.267e-12]  [295 0 52]
 NS 1-2  1.290e+00  [-57 1.372e-03 1.372e-03 9.043e-13]  [198 -277 56]
 NS 1-3  1.890e+00  [-125 5.065e-07 5.065e-07 8.629e-13]  [196 -278 54]
 NS 1-4  2.459e+00  [-197 1.296e-10 1.296e-10 9.033e-13]  [195 -277 55]
 NS 1-5  3.040e+00  [-254 1.872e-13 1.872e-13 8.554e-13]  [193 -278 55]
 NS 2-1  3.624e+00  [0 1.000e+00 2.856e+01 9.183e-13]  [194 -277 56]
 NS 2-2  4.199e+00  [-75 1.586e-04 4.529e-03 9.638e-13]  [192 -277 55]
 NS 2-3  4.782e+00  [-146 4.871e-08 1.391e-06 9.761e-13]  [196 -277 56]
 NS 2-4  5.373e+00  [-216 1.483e-11 4.235e-10 9.255e-13]  [194 -277 57]
 NS 2-5s 5.992e+00  [-285 5.610e-15 1.602e-13 8.232e-13]  [193 -278 52]
